epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,44.393,0.86234,1.96747,1.33614,0.95068,0.38821,0.42019,0.29142,1.77184,2.44913,1.55391,2.82082e-05,2.82082e-05,2.82082e-05
40,45.429,0.93093,1.18004,1.4194,0.95068,0.38821,0.42019,0.29142,1.77184,2.44913,1.55391,2.84911e-05,2.84911e-05,2.84911e-05
41,46.542,0.72155,1.22823,1.10799,0.95135,0.38661,0.42355,0.29183,1.75854,2.46462,1.54327,2.87504e-05,2.87504e-05,2.87504e-05
42,47.6057,0.91387,1.27345,1.30536,0.95135,0.38661,0.42355,0.29183,1.75854,2.46462,1.54327,2.89861e-05,2.89861e-05,2.89861e-05
43,48.7132,0.57973,2.52659,1.17283,0.95259,0.38719,0.42413,0.32321,1.73655,2.46331,1.5351,2.91983e-05,2.91983e-05,2.91983e-05
44,49.805,0.87091,1.15038,1.26086,0.95259,0.38719,0.42413,0.32321,1.73655,2.46331,1.5351,2.93869e-05,2.93869e-05,2.93869e-05
45,50.9147,0.61651,1.12409,1.11075,0.95262,0.38673,0.42467,0.32337,1.72377,2.45251,1.51979,2.9552e-05,2.9552e-05,2.9552e-05
46,51.9593,0.89263,1.08509,1.33329,0.95262,0.38673,0.42467,0.32337,1.72377,2.45251,1.51979,2.96935e-05,2.96935e-05,2.96935e-05
47,53.0546,0.78801,0.92712,1.1604,0.95092,0.38621,0.42454,0.32448,1.72429,2.47672,1.52943,2.98114e-05,2.98114e-05,2.98114e-05
48,54.1364,0.66429,0.9349,1.09532,0.95092,0.38621,0.42454,0.32448,1.72429,2.47672,1.52943,2.99058e-05,2.99058e-05,2.99058e-05
49,55.241,0.95177,0.86823,1.21497,0.95041,0.38333,0.42123,0.3226,1.67787,2.35508,1.47226,2.99766e-05,2.99766e-05,2.99766e-05
50,56.304,0.82542,0.83267,1.17518,0.95041,0.38333,0.42123,0.3226,1.67787,2.35508,1.47226,3.00238e-05,3.00238e-05,3.00238e-05
51,57.4262,0.78855,0.89176,1.19444,0.94972,0.38594,0.42645,0.309,1.69659,2.37436,1.5043,3.00475e-05,3.00475e-05,3.00475e-05
52,58.4981,0.75183,1.05994,1.14231,0.94972,0.38594,0.42645,0.309,1.69659,2.37436,1.5043,3.00476e-05,3.00476e-05,3.00476e-05
53,59.5642,0.60381,0.81808,1.11656,0.94972,0.38594,0.42645,0.309,1.69659,2.37436,1.5043,3.00242e-05,3.00242e-05,3.00242e-05
54,60.6678,0.87025,1.30122,1.25548,0.94821,0.38579,0.42806,0.3088,1.72912,2.34956,1.53216,2.99772e-05,2.99772e-05,2.99772e-05
55,61.7267,0.81418,0.79344,1.1172,0.94821,0.38579,0.42806,0.3088,1.72912,2.34956,1.53216,2.99066e-05,2.99066e-05,2.99066e-05
56,62.746,0.7412,1.13509,1.10723,0.94821,0.38579,0.42806,0.3088,1.72912,2.34956,1.53216,2.98125e-05,2.98125e-05,2.98125e-05
57,63.8819,0.63822,0.75254,1.08644,0.95217,0.38487,0.42789,0.30238,1.70009,2.3665,1.50643,2.96948e-05,2.96948e-05,2.96948e-05
58,64.9625,0.71539,0.72427,1.17512,0.95217,0.38487,0.42789,0.30238,1.70009,2.3665,1.50643,2.95535e-05,2.95535e-05,2.95535e-05
59,66.0141,0.8298,0.90467,1.22642,0.95217,0.38487,0.42789,0.30238,1.70009,2.3665,1.50643,2.93887e-05,2.93887e-05,2.93887e-05
60,67.1122,0.92434,1.33252,1.3504,0.9579,0.38239,0.4283,0.30209,1.72967,2.41876,1.5323,2.92003e-05,2.92003e-05,2.92003e-05
61,68.1799,0.5998,0.80321,1.06689,0.9579,0.38239,0.4283,0.30209,1.72967,2.41876,1.5323,2.89884e-05,2.89884e-05,2.89884e-05
62,69.247,0.58748,0.6725,1.07678,0.9579,0.38239,0.4283,0.30209,1.72967,2.41876,1.5323,2.87529e-05,2.87529e-05,2.87529e-05
63,70.3454,1.06104,1.4509,1.50578,0.96523,0.38333,0.42868,0.30146,1.73302,2.42582,1.51478,2.84938e-05,2.84938e-05,2.84938e-05
64,71.4209,0.71099,0.91483,1.10146,0.96523,0.38333,0.42868,0.30146,1.73302,2.42582,1.51478,2.82112e-05,2.82112e-05,2.82112e-05
65,72.4824,0.77506,0.82318,1.12053,0.96523,0.38333,0.42868,0.30146,1.73302,2.42582,1.51478,2.7905e-05,2.7905e-05,2.7905e-05
66,73.597,0.61234,0.69475,1.14749,0.95123,0.3907,0.43526,0.30171,1.73628,2.42946,1.51101,2.75753e-05,2.75753e-05,2.75753e-05
67,74.679,0.6425,0.62313,1.0267,0.95123,0.3907,0.43526,0.30171,1.73628,2.42946,1.51101,2.7222e-05,2.7222e-05,2.7222e-05
68,75.7231,0.85617,1.04136,1.23419,0.95123,0.3907,0.43526,0.30171,1.73628,2.42946,1.51101,2.68451e-05,2.68451e-05,2.68451e-05
69,76.8255,0.68334,0.83275,1.10441,0.94876,0.39563,0.43337,0.30063,1.7464,2.46432,1.51106,2.64447e-05,2.64447e-05,2.64447e-05
70,77.9018,1.02807,1.5674,1.33955,0.94876,0.39563,0.43337,0.30063,1.7464,2.46432,1.51106,2.60207e-05,2.60207e-05,2.60207e-05
71,78.9706,0.54602,0.59292,0.98969,0.94876,0.39563,0.43337,0.30063,1.7464,2.46432,1.51106,2.55731e-05,2.55731e-05,2.55731e-05
72,80.0646,0.66614,0.57739,0.99675,0.87319,0.40069,0.43391,0.30415,1.7391,2.44144,1.49603,2.5102e-05,2.5102e-05,2.5102e-05
73,81.1198,0.63852,0.89749,1.10066,0.87319,0.40069,0.43391,0.30415,1.7391,2.44144,1.49603,2.46073e-05,2.46073e-05,2.46073e-05
74,82.1833,0.71478,0.8187,1.14285,0.87319,0.40069,0.43391,0.30415,1.7391,2.44144,1.49603,2.40891e-05,2.40891e-05,2.40891e-05
75,83.2852,0.79006,0.75315,1.29649,0.87263,0.4046,0.4355,0.2855,1.74275,2.39952,1.48578,2.35472e-05,2.35472e-05,2.35472e-05
76,84.3694,0.61366,0.67046,1.06428,0.87263,0.4046,0.4355,0.2855,1.74275,2.39952,1.48578,2.29819e-05,2.29819e-05,2.29819e-05
77,85.4551,0.78998,0.75538,1.21163,0.87263,0.4046,0.4355,0.2855,1.74275,2.39952,1.48578,2.23929e-05,2.23929e-05,2.23929e-05
78,86.561,0.82692,1.09909,1.21415,0.86569,0.4091,0.43568,0.28485,1.73689,2.35908,1.468,2.17805e-05,2.17805e-05,2.17805e-05
79,87.6285,0.59789,0.59352,1.03233,0.86569,0.4091,0.43568,0.28485,1.73689,2.35908,1.468,2.11444e-05,2.11444e-05,2.11444e-05
80,88.6917,0.65071,0.62582,1.00108,0.86569,0.4091,0.43568,0.28485,1.73689,2.35908,1.468,2.04848e-05,2.04848e-05,2.04848e-05
81,89.796,0.67109,0.78204,1.19829,0.84207,0.4,0.43458,0.28494,1.74657,2.37863,1.47148,1.98016e-05,1.98016e-05,1.98016e-05
82,90.8803,0.5696,0.4883,1.05737,0.84207,0.4,0.43458,0.28494,1.74657,2.37863,1.47148,1.90949e-05,1.90949e-05,1.90949e-05
83,91.939,0.73617,0.90279,1.15412,0.84207,0.4,0.43458,0.28494,1.74657,2.37863,1.47148,1.83646e-05,1.83646e-05,1.83646e-05
84,93.0674,0.46164,0.52289,0.98411,0.81807,0.4,0.43488,0.28469,1.75839,2.38623,1.47205,1.76107e-05,1.76107e-05,1.76107e-05
85,94.1375,0.62469,0.79869,1.07095,0.81807,0.4,0.43488,0.28469,1.75839,2.38623,1.47205,1.68333e-05,1.68333e-05,1.68333e-05
86,95.2085,0.79571,0.82388,1.32859,0.81807,0.4,0.43488,0.28469,1.75839,2.38623,1.47205,1.60323e-05,1.60323e-05,1.60323e-05
87,96.2908,0.79618,0.95037,1.21449,0.81807,0.4,0.43488,0.28469,1.75839,2.38623,1.47205,1.52077e-05,1.52077e-05,1.52077e-05
88,97.3933,0.55774,0.65168,1.05229,0.81186,0.4,0.42988,0.2814,1.77345,2.37353,1.46578,1.43596e-05,1.43596e-05,1.43596e-05
89,98.4572,0.76768,0.7295,1.16391,0.81186,0.4,0.42988,0.2814,1.77345,2.37353,1.46578,1.34879e-05,1.34879e-05,1.34879e-05
90,99.5228,0.57775,0.80844,0.99879,0.81186,0.4,0.42988,0.2814,1.77345,2.37353,1.46578,1.25927e-05,1.25927e-05,1.25927e-05
91,100.552,0.50964,0.48537,1.05244,0.81186,0.4,0.42988,0.2814,1.77345,2.37353,1.46578,1.16739e-05,1.16739e-05,1.16739e-05
92,101.65,0.41646,0.52101,0.90188,0.81935,0.4,0.42877,0.28168,1.78726,2.45913,1.49618,1.07315e-05,1.07315e-05,1.07315e-05
93,102.722,0.66649,0.69969,1.26017,0.81935,0.4,0.42877,0.28168,1.78726,2.45913,1.49618,9.76562e-06,9.76562e-06,9.76562e-06
94,103.781,0.5828,0.53787,1.04473,0.81935,0.4,0.42877,0.28168,1.78726,2.45913,1.49618,8.77613e-06,8.77613e-06,8.77613e-06
95,104.818,0.7438,0.6819,1.30643,0.81935,0.4,0.42877,0.28168,1.78726,2.45913,1.49618,7.76308e-06,7.76308e-06,7.76308e-06
96,105.915,0.5626,0.52067,1.0604,0.82295,0.4,0.43095,0.3002,1.80355,2.57542,1.54957,6.72648e-06,6.72648e-06,6.72648e-06
97,106.983,0.4343,0.45236,0.9422,0.82295,0.4,0.43095,0.3002,1.80355,2.57542,1.54957,5.6663e-06,5.6663e-06,5.6663e-06
98,108.032,0.61415,0.57666,1.1093,0.82295,0.4,0.43095,0.3002,1.80355,2.57542,1.54957,4.58257e-06,4.58257e-06,4.58257e-06
99,109.11,0.49157,0.49779,0.91468,0.82295,0.4,0.43095,0.3002,1.80355,2.57542,1.54957,3.47528e-06,3.47528e-06,3.47528e-06
100,110.241,0.4216,0.49248,0.93494,0.82485,0.4,0.43204,0.30057,1.77514,2.50041,1.49046,2.34442e-06,2.34442e-06,2.34442e-06
